name,type,franchise,brand,year,condition,acquired,cost,value,notes,isSold,soldDate,soldPrice,ebayListed,ebaySold
Animation Art (Beastman),Action Figures,Masters of the Universe,Filmation,1983,Used - complete,2014-01-07,19,,,false,,,,
Weirdwolf Reissue,Action Figures,Transformers,Hasbro,1985,Used - complete,2015-12-14,29,,,false,,,,
Masterpiece Lambor/Sideswipe MP-12 KO,Action Figures,Transformers,Hasbro,1985,Used - complete,2015-06-25,20.5,,,true,2021-02-12,22,,
Masterpiece MP-15 Rumble,Action Figures,Transformers,Hasbro,2015,Used - complete,2015-11-09,15,,,true,2021-02-12,14,,
Masterpiece MP-15 Frenzy & Buzzsaw,Action Figures,Transformers,Hasbro,2015,Used - complete,2015-11-09,15,,,true,2021-02-12,14,,
Bumble Masterpiece MP-21 Robots,Action Figures,Transformers,Hasbro,2015,Used - complete,22/11/15,£19.00,,,TRUE,12/02/21,36,,
SEWER SURFER MIKE MOC UKG/AFA85%,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,28/11/15,£55.00,,,TRUE,22/02/24,251,,
Dynamo Vehicle & UKG grading,Action Figures,M.A.S.K,Kenner,1985,Used - complete,28/11/15,£75.00,,,FALSE,,,,
Toyworld TW-H03 Swamper,Action Figures,Transformers,Toyworld,2015,Used - complete,28/11/15,£67.00,,,TRUE,14/02/21,26,,
Baby Boglins,Action Figures,Boglins,Mattel,1990,Used - complete,30/11/15,£17.43,,,FALSE,,,,
GRIZZLOR - HE-MAN MOC,Action Figures,Masters of the Universe,Mattel,1985,Used - complete,18/12/15,£67.49,,,TRUE,14/07/20,172,,
Ray Fillet Red V - C9,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,14/02/16,£20.00,,,FALSE,,,,
Secret 12 Pack,Action Figures,Monster in My Pocket,Mattel,1990,Used - complete,14/02/16,£19.90,,,FALSE,,,,
R899 (Headmaster Chromedome),Production cel,Transformers,Sunbrow,1987,Used - complete,24/03/16,£75.51,,,FALSE,,,,
Pretenders Skullgrin UKG not AFA graded 80 MISB MIB sealed,Production cel,Transformers,Hasbro,1988,Used - complete,08/04/16,£138.00,,,TRUE,27/11/23,424,,
G1 Headmaster Skullcruncher Reissue,Action Figures,Transformers,Hasbro,2015,Used - complete,14/10/16,£37.00,,,FALSE,,,,
BEAST MAN FILMATION 2.0 CLASSICS,Action Figures,Masters of the Universe,Mattel,2016,Used - complete,06/11/16,£30.05,,,TRUE,17/10/21,63,,
MP-28 Hot Rodimus,Action Figures,Transformers,Hasbro,2015,Used - complete,18/02/17,£23.00,,,FALSE,,,,
Matchbox Series 1,Action Figures,Monster in My Pocket,Mattel,1990,Used - complete,29/01/18,£29.90,,,FALSE,,,,
Wyrm w/display case,Action Figures,Teenage Mutant Ninja Turtles,Playmates,1990,Used - complete,18/02/18,£37.89,,,FALSE,,,,
